city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth,real_estate_inv,house_sales
深圳,2020,3857.39,4177.72,27670.0,320.3300000000004,0.0115767979761474,0.0222638589275396,-0.082370358004977,3537.84,908.8
深圳,2019,3773.38,4552.73,26927.0,779.3499999999995,0.0289430682957625,0.0664055324284071,0.0630910627804992,3041.65,806.56
深圳,2018,3538.41,4282.54,24221.98,744.1300000000001,0.0307212705154574,0.061906348191697,-0.0677565414253994,2640.71,722.01
深圳,2017,3332.13,4593.8,22490.06,1261.67,0.0560990055162147,0.0623754579163333,0.0908944108818725,2130.86,671.03
深圳,2016,3136.49,4211.04,19492.6,1074.5500000000002,0.0551260478335368,0.1502246181491464,0.1957508795543023,1756.52,736.19
深圳,2015,2726.85,3521.67,17502.86,794.8200000000002,0.0454108642816088,0.3094494919421446,0.6257813437727942,1331.03,831.46
深圳,2014,2082.44,2166.14,16001.82,83.69999999999982,0.0052306550129922,0.2028464817531741,0.2811104605430468,1069.49,532.57
深圳,2013,1731.26,1690.83,14500.23,-40.430000000000064,-0.0027882316349464,0.1681285760552737,0.0799126274980679,876.9,588.58
深圳,2012,1482.08,1565.71,12950.1,83.63000000000011,0.0064578651902302,0.1063848847018074,-0.0156234282265365,736.84,525.83
深圳,2011,1339.57,1590.56,11505.53,250.99,0.0218147273528468,0.21028712889178,0.257091371802066,514.74,496.89
深圳,2010,1106.82,1265.27,9581.5,158.45000000000005,0.0165370766581433,0.2565790967507548,0.2642080652252108,458.47,465.59
深圳,2009,880.82,1000.84,8201.0,120.01999999999998,0.014634800634069,0.1005297616072766,0.1247162474996066,437.46,762.15
深圳,2008,800.36,889.86,7806.54,89.5,0.0114647462256005,0.2162416800899615,0.2224023297983406,440.49,466.71
深圳,2007,658.06,727.96,6801.57,69.90000000000009,0.0102770389777654,0.3138076984507265,0.2739491092366386,461.04,555.11
深圳,2006,500.88,571.42,5813.56,70.53999999999996,0.0121337012088978,,,462.09,749.08
石家庄,2024,746.08,1274.69,8203.44,528.61,0.0644376017865675,0.0110992153301983,-0.0001098185640436,516.11,490.5
石家庄,2023,737.89,1274.83,7534.0,536.9399999999999,0.0712689142553756,0.0660685390661119,0.0195132874291241,521.01,586.75
石家庄,2022,692.16,1250.43,7100.64,558.2700000000001,0.0786224903670655,0.0158506516379006,0.0847459097454761,767.2,606.06
石家庄,2021,681.36,1152.74,6490.3,471.38,0.0726283838959678,0.0777772505101312,0.0092012992129431,951.32,720.29
